identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
3328C,CHAUFFERIE BOIS SAINT MÉDARD,SAINT MEDARD,0.103,0.13,63.4,Moyenne
3329C,RÉSEAU DE PINSAN,EYSINES,0.027,0.052,89.3,Moyenne
3330C,BARIE,BARIE,0,0.021,100,2024
3334C,NEWTON,BEGLES,0.116,0.086,26.9,Moyenne
3335C,MERIGNAC CENTRE ENERGIES,MERIGNAC,0.082,0.106,72.3,2024
3401C,RMCF,MONTPELLIER,0.065,0.089,71.5,2024
3401F,POLYGONE ANTIGONE,MONTPELLIER,0.08,0.098,,Moyenne
3402F,ERNEST GRANIER,MONTPELLIER,0.013,0.057,,Moyenne
3403F,PORT MARIANNE/ODYSSEUM,MONTPELLIER,0.012,0.056,,Moyenne
3404C,RÉSEAU DE FRAÏSSE - AGOUT,FRAISSE-SUR-AGOUT,0,0.021,100,2024
3406F,RÉSEAU ARCHE JACQUES COEUR,MONTPELLIER,0.014,0.058,,Moyenne
3409C,ZAC DES CONSTELLATIONS,JUVIGNAC,0.067,0.093,75.5,2024
3410C,ECO-QUARTIER LE MAS DE ROCHET,CASTELNAU-LE-LEZ,0.094,0.121,62.4,Moyenne
3411C,MUSE,MONTPELLIER,0,0.004,100,2024
3411F,MUSE,MONTPELLIER,0.014,0.027,,Moyenne
3412C,BET BOIRARGUES CHAUD,LATTES,0.044,0.023,75.4,Moyenne
3412F,BET BOIRARGUES FROID,LATTES,0.008,0.017,,2024
3413C,BET ODE CHAUD,PEROLS,0.065,0.043,63.6,2024
3414C,BET EUREKA CHAUD,CASTELNAU-LE-LEZ,0.061,0.031,68.4,2024
3414F,BET EUREKA FROID,CASTELNAU-LE-LEZ,0.014,0.026,,2024
3424F,BEAUSOLEIL,MONTPELLIER,0.015,0.059,,Moyenne
3425C,PRADO CONCORDE,CASTELNAU LE LEZ,0.146,0.103,40.6,Moyenne
3426F,PRADO CONCORDE,CASTELNAU LE LEZ,0.014,0.058,,Moyenne
3427F,NOUVEAU SAINT ROCH,MONTPELLIER,0.011,0.021,,2024
3430C,CAYLUS,CASTELNAU LE LEZ,0.145,0.175,52.2,2024
3504C,SARAH BERNHARDT,RENNES,0.109,0.143,53.4,2024
3505C,CAMPUS SCIENTIFIQUE DE BEAULIEU,RENNES,0.204,0.237,0,2024
3506C,RENNES SUD,RENNES,0.086,0.115,59.4,2024
3507C,RÉSEAU DE RENNES NORD & EST,RENNES,0.192,0.219,19.3,Moyenne
3508C,RÉSEAU DE CHALEUR BRETAGNE ROMANTIQUE À COMBOURG,COMBOURG,0.009,0.034,96.9,2024
3510C,REVERTEC,VITRE,0.049,0.059,80.2,2024
3511C,SILVA -- RÉSEAU DE JANZE,JANZE,0.035,0.059,86.8,2024
3512C,RÉSEAU DE VEZIN LE COQUET,VEZIN-LE-COQUET,0.058,0.086,78.9,2024
3514C,RESEAU CHARTRES DE BRETAGNE (ZAC PORTES DE SEICHE),CHARTRES-DE-BRETAGNE,0.069,0.093,74,2024
3515C,"RCU DE RETIERS, MARTIGNE-FERCHAUD, COESMES","RETIERS, MARTIGNÉ-FERCHAUD, COËSMES",0.016,0.044,96.5,2024
3516C,SAVE,CORNILLÉ,0,0.004,100,2024
3518C,RÉSEAU DE CHALEUR DE LIFFRÉ,LIFFRÉ,0.029,0.052,88,2024
3519C,RÉSEAU REVERTEC - LACTALIS - KERVALIS,VITRE,0,0.004,100,2024
3601C,SDCC,CHATEAUROUX,0.044,0.023,66.3,2024
3602C,RÉSEAU DE CHALEUR DE LA CITÉ DE BEAULIEU,CHATEAUROUX,0.037,0.058,83.6,Moyenne
3603C,RÉSEAU DE CHALEUR ARGENTON SUR CREUSE,ARGENTON-SUR-CREUSE,0.009,0.03,96.3,Moyenne
3604C,RÉSEAU COMMUNAL NEUVY SAINT SEPULCHRE,NEUVY-SAINT-SEPULCHRE,0.014,0.038,96.4,2024
3605C,RÉSEAU DE CHALEUR D'ISSOUDUN,ISSOUDUN,0.056,0.08,75.1,Moyenne
3606C,CENTRE DÉPARTEMENTAL GÉRIATRIQUE DE L'INDRE (CDGI),CHATEAUROUX,0.046,0.071,82.9,2024
3607C,GROUPE SCOLAIRE DE MÉZIÈRES EN BRENNE,MÉZIÈRES EN BRENNE,0.198,0.206,37.7,Moyenne
3701C,RCU JOUE LES TOURS,JOUE-LES-TOURS,0.087,0.11,67.3,2024
3702C,ZUP DES BORDS DE CHER ET SANITAS,TOURS,0.044,0.064,81.1,2024
3704C,QUARTIER CHATEAUBRIAND,TOURS,0.209,0.266,0,2024
3705C,RÉSEAU DE LA VILLE DE SAINT PIERRE DES CORPS,SAINT-PIERRE-DES-CORPS,0.081,0.106,67,2024
3707C,RÉSEAU DE CHALEUR POUR LE CHU ST BENOIT LA FORÊT,SAINT-BENOIT-LA-FORET,0,0.004,100,2024
3708C,RÉSEAU DE CHAUFFAGE URBAIN DE LA RICHE - QUARTIER,LA RICHE,0.238,0.268,0,2024
