identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
1320C,RCB COUDOUX,COUDOUX,0.132,0.16,53.1,Moyenne
1321C,BET RÉSEAU DU PÔLE YVON MORANDAT,GARDANNE,0.04,0.025,65.7,2024
1321F,BET RÉSEAU DU PÔLE YVON MORANDAT,GARDANNE,0.009,0.018,,2024
1322C,BET MASSILEO CHAUD,MARSEILLE,0.056,0.047,84.2,Moyenne
1322F,BET MASSILEO FROID,MARSEILLE,0.014,0.026,,2024
1323C,RÉSEAU DE CHALEUR URBAIN « TERRE DE GARANCE »,AUBAGNE,0.104,0.152,81.7,2024
1401C,RÉSEAU DE CHALEUR URBAIN NORD CAEN LA MER,HÉROUVILLE-SAINT-CLAIR,0.034,0.042,88,Moyenne
1402C,ZUP DE HAUTEVILLE,LISIEUX,0.087,0.112,65.8,2024
1403C,ZAC DE FALAISE,FALAISE,0.12,0.147,51.9,2024
1405C,RÉSEAU DE BOIS I,BAYEUX,0.044,0.074,83.9,2024
1406C,RÉSEAU BOIS VALLÉE DES PRÈS (BAYEUX 2),BAYEUX,0.039,0.063,85.2,2024
1409C,RCU D'AUNAY-SUR-ODON,AUNAY-SUR-ODON,0.029,0.06,92.2,2024
1410C,RCU DE VIRE,VIRE,0.069,0.095,77.8,Moyenne
1411C,RCU DE VAL-ÈS-DUNES,ARGENCES,0.075,0.099,68.6,Moyenne
1412C,RÉSEAU DE CHALEUR - CHAUFFERIE BOIS,BLAINVILLE-SUR-ORNE,0.101,0.129,65,Moyenne
1413C,RÉSEAU DE CHALEUR CAEN SUD,CAEN,0.064,0.09,75.7,2024
1414C,SERRES ABC14,COLOMBELLES,0,0.004,100,2024
1501C,CENTRE HOSPITALIER HENRI MONDOR - AURILLAC,AURILLAC CEDEX,0.004,0.027,98.3,Moyenne
1502C,RÉSEAU DE CHALEUR BOIS DU CROZATIER,SAINT-GEORGES,0.016,0.05,97,Moyenne
1503C,RÉSEAU DE CHALEUR BOIS DU VOLZAC,SAINT-FLOUR,0.006,0.029,98.2,Moyenne
1504C,RÉSEAU DE RIOM-ES-MONTAGNES,RIOM-ES-MONTAGNES,0.006,0.031,98.5,2024
1505C,RÉSEAU DE VEBRET,VEBRET,0,0.022,100,2024
1506C,RÉSEAU DE L'OP HLM DU CANTAL,ARPAJON-SUR-CERE,0,0.019,100,2024
1507C,RÉSEAU CHALEUR BOIS DE MURAT,MURAT,0.002,0.026,99.4,2024
1511C,RÉSEAU DE CHALEUR D'AURILLAC,AURILLAC,0.026,0.048,90.5,2024
1512C,RÉSEAU DE CHALEUR DE BESSERETTE,SAINT FLOUR,0.003,0.025,99.2,2024
1513C,RÉSEAU CHALEUR BOIS DE VIC SUR CÈRE,VIC SUR CÈRE,0,0.021,100,2024
1514C,RESEAU CHALEUR POLMINHAC (RCP),POLMINHAC,0,0.018,100,2024
1601C,RÉSEAU DE SAINT-BONNET,SAINT-BONNET,0,0.053,100,2024
1602C,COMMUNE DE BAIGNES-SAINTE-RADEGONDE,BAIGNES,0,0.026,100,Moyenne
1603C,RÉSEAU DE BROSSAC,BROSSAC,0.114,0.149,66.7,Moyenne
1604C,RÉSEAU DE CHAMPAGNE-MOUTON,CHAMPAGNE-MOUTON,0,0.024,100,2024
1605C,RÉSEAU « CHAMP DE MANŒUVRE »,SOYAUX,0.196,0.225,0,2024
1606C,CHAUFFERIE BOIS,MONTEMBOEUF,0,0.025,100,2024
1607C,RÉSEAU DE CHALEUR DE CHÂTEAUBERNARD,CHATEAUBERNARD,0.08,0.104,66.6,2024
1608C,RÉSEAU DE CHALEUR DE BASSEAU,ANGOULEME,0.164,0.192,31.9,Moyenne
1609C,RÉSEAU DE CHALEUR DE SEGONZAC,SEGONZAC,0.232,0.273,32.6,Moyenne
1610C,RÉSEAU DES VAUZELLES,CHATEAUBERNARD,0.01,0.03,95.9,2024
1611C,15 BOULEVARD JEAN MOULIN,ANGOULÊME,0.313,0.355,16.7,2024
1612C,DOMAINE DE LA COMBE,ST YRIEIX SUR CHARENTE,0.112,0.141,63.1,Moyenne
1613C,CHAUFFERIE BOIS LE LINDOIS,LE LINDOIS,0,0.03,100,2024
1701C,VILLENEUVE LES SALINES,LA ROCHELLE,0.049,0.084,73.5,Moyenne
1702C,RÉSEAU DE JONZAC,JONZAC,0.154,0.194,59.1,Moyenne
1703C,RÉSEAU DE AYTRE,AYTRE,0.041,0.064,83.5,Moyenne
1704C,PONT NEUF MIREUIL ENERGIE,LA ROCHELLE,0.014,0.02,96.3,2024
1705C,RÉSEAU DE CHALEUR URBAIN DE PONS,PONS,0.048,0.076,84.3,Moyenne
1706C,RÉSEAU DE CHALEUR TONNAY-BOUTONNE,TONNAY-BOUTONNE,0.12,0.148,64.5,Moyenne
1707C,RÉSEAU DE LA CHAUFFERIE BOIS,GEMOZAC,0.067,0.097,83.4,Moyenne
1708C,RÉSEAU DE CHALEUR UVE ECHILLAIS,ECHILLAIS,0,0.004,100,2024
1709C,RÉSEAU DES FOURRIERS,ROCHEFORT,0.011,0.038,96.6,2024
1801C,CHANCELLERIE GIBJONCS - ZUP DE BOURGES,BOURGES,0.013,0.036,95.2,2024
1803C,CLOS DU ROY / TUNNEL CHATEAU,VIERZON,0.462,0.521,0,2024
1901C,UNITÉ DE VALORISATION ENERGÉTIQUE - BLÉDINA,SAINT-PANTALEON-DE-LARCHE,0,0.004,100,2024
1902C,EGLETONS BOIS ENERGIE,EGLETONS,0.03,0.044,90.1,Moyenne
1903C,RÉSEAU DE SORNAC,SORNAC,0.065,0.098,83.2,Moyenne
1904C,RÉSEAU DE SERVIÈRES LE CHÂTEAU,SERVIERES-LE-CHATEAU,0,0.022,100,2024
1906C,"ENGIE SOLUTIONS AGENCE ATLANTIQUE LIMOUSIN,",EYREIN,0.253,0.284,0,2024
1907C,RÉSEAU DE BRIVE-LA-GAILLARDE,BRIVE-LA-GAILLARDE,0.014,0.027,95.2,2024
1908C,SERRES DE ROSIERS D'EGLETONS,ROSIERS D'EGLETONS,0,0.004,100,2024
1909C,RÉSEAU D'OBJAT,OBJAT,0.043,0.066,84.3,2024
2001C,RÉSEAU DE CORTE,CORTE,0,0.025,99.9,2024
2102C,RÉSEAU DU GRAND DIJON OUEST,DIJON,0.084,0.111,60.2,Moyenne
2105C,RÉSEAU DES GRESILLES,DIJON,0.082,0.112,71.4,2024
2106C,DIJON ÉNERGIES,DIJON,0.042,0.06,80.7,2024
2107C,MAIRIE,BELLENEUVE,0.03,0.058,99.9,2024
